ds,total_transactions,total_revenue_vnd,avg_transaction_vnd,unique_users,unique_merchants,unique_cities,error_transactions,fraud_transactions,max_transaction_vnd,min_transaction_vnd
2003-05-07,1,2691422.0,2691422.0,1,1,1,0,0,2691422.0,2691422.0
2003-08-03,1,1069776.0,1069776.0,1,1,1,0,0,1069776.0,1069776.0
2003-08-23,2,4321756.0,2160878.0,1,2,2,0,0,3357563.0,964193.0
2003-10-03,2,3416541.0,1708270.5,1,2,1,0,0,3141396.0,275145.0
2003-01-25,2,4526339.0,2263169.5,1,2,1,0,0,3997375.0,528964.0
2003-01-03,1,3255930.0,3255930.0,1,1,1,0,0,3255930.0,3255930.0
2002-12-09,1,3535025.0,3535025.0,1,1,1,0,0,3535025.0,3535025.0
2002-09-16,2,4201956.0,2100978.0,1,2,1,0,0,3036867.0,1165089.0
2003-08-22,1,2965250.0,2965250.0,1,1,1,0,0,2965250.0,2965250.0
2005-05-10,1,2660616.0,2660616.0,1,1,1,0,0,2660616.0,2660616.0
2003-08-05,1,1635864.0,1635864.0,1,1,1,0,0,1635864.0,1635864.0
2004-05-10,2,1556085.0,778042.5,1,2,1,0,0,1165352.0,390733.0
2004-11-03,2,1795422.0,897711.0,1,2,1,0,0,1129807.0,665615.0
2003-02-19,1,2562143.0,2562143.0,1,1,1,0,0,2562143.0,2562143.0
2003-01-05,1,778043.0,778043.0,1,1,1,0,0,778043.0,778043.0
2003-05-19,2,2909695.0,1454847.5,1,2,1,0,0,1849135.0,1060560.0
2004-10-20,1,1181413.0,1181413.0,1,1,1,0,0,1181413.0,1181413.0
2004-06-13,3,1909429.0,636476.3333333334,1,1,1,0,0,1909429.0,-1895738.0
2005-03-17,1,3228021.0,3228021.0,1,1,1,0,0,3228021.0,3228021.0
2005-03-26,1,1435232.0,1435232.0,1,1,1,0,0,1435232.0,1435232.0
2004-06-28,1,734072.0,734072.0,1,1,1,0,0,734072.0,734072.0
2004-04-03,1,987100.0,987100.0,1,1,1,0,0,987100.0,987100.0
2005-03-23,1,720907.0,720907.0,1,1,1,0,0,720907.0,720907.0
2003-05-15,6,-3282522.0,-547087.0,1,4,4,0,0,3797269.0,-1.1321769E7
2004-05-17,1,164561.0,164561.0,1,1,1,0,0,164561.0,164561.0
2004-07-02,1,172723.0,172723.0,1,1,1,0,0,172723.0,172723.0
2003-02-04,2,2305165.0,1152582.5,1,2,2,0,0,1398897.0,906268.0
2003-08-07,1,829122.0,829122.0,1,1,1,0,0,829122.0,829122.0
2003-10-04,1,1190629.0,1190629.0,1,1,1,0,0,1190629.0,1190629.0
2004-03-27,1,1367301.0,1367301.0,1,1,1,0,0,1367301.0,1367301.0
2004-08-29,3,1276727.0,425575.6666666667,1,1,1,0,0,1316485.0,-1316485.0
2004-11-09,1,3992898.0,3992898.0,1,1,1,0,0,3992898.0,3992898.0
2005-06-17,2,1040813.0,520406.5,1,2,1,0,0,996842.0,43971.0
2004-09-01,2,2709853.0,1354926.5,1,2,2,0,0,2444186.0,265667.0
2003-10-22,1,1330966.0,1330966.0,1,1,1,0,0,1330966.0,1330966.0
2003-05-20,1,371512.0,371512.0,1,1,1,0,0,371512.0,371512.0
2005-04-09,1,3854931.0,3854931.0,1,1,1,0,0,3854931.0,3854931.0
2003-01-15,1,2018698.0,2018698.0,1,1,1,0,0,2018698.0,2018698.0
2004-10-18,1,1126384.0,1126384.0,1,1,1,0,0,1126384.0,1126384.0
2003-04-06,1,4162462.0,4162462.0,1,1,1,0,0,4162462.0,4162462.0
2002-12-02,8,1.8465015E7,2308126.875,1,6,4,0,0,5555566.0,-1316485.0
2003-08-29,1,2000530.0,2000530.0,1,1,1,0,0,2000530.0,2000530.0
2003-09-15,1,1809903.0,1809903.0,1,1,1,0,0,1809903.0,1809903.0
2005-03-31,1,1015010.0,1015010.0,1,1,1,0,0,1015010.0,1015010.0
2002-09-20,2,5909963.0,2954981.5,1,1,1,0,0,3151401.0,2758562.0
2003-03-26,1,331228.0,331228.0,1,1,1,0,0,331228.0,331228.0
2004-08-22,2,3566621.0,1783310.5,1,2,2,0,0,1799635.0,1766986.0
2004-05-05,2,3281206.0,1640603.0,1,2,2,0,0,3117699.0,163507.0
2004-02-18,1,3471307.0,3471307.0,1,1,1,0,0,3471307.0,3471307.0
2004-10-31,2,1735653.0,867826.5,1,2,2,0,0,1033177.0,702476.0
2003-06-16,1,1266722.0,1266722.0,1,1,1,0,0,1266722.0,1266722.0
2004-05-26,2,2657983.0,1328991.5,1,2,1,0,0,1588471.0,1069512.0
2003-04-20,2,1740919.0,870459.5,1,2,1,0,0,1516590.0,224329.0
2003-06-29,3,8116128.0,2705376.0,1,2,2,0,0,3904694.0,1152187.0
2002-11-09,3,1.1096387E7,3698795.6666666665,1,3,2,0,0,4437344.0,2261984.0
2005-04-16,1,1041076.0,1041076.0,1,1,1,0,0,1041076.0,1041076.0
2002-10-15,5,6514230.0,1302846.0,1,3,1,0,0,2609010.0,-2317013.0
2003-04-16,2,4997640.0,2498820.0,1,2,1,0,0,3151928.0,1845712.0
2004-08-09,2,4029497.0,2014748.5,1,2,2,0,0,2055033.0,1974464.0
2003-08-09,1,2786208.0,2786208.0,1,1,1,0,0,2786208.0,2786208.0
2002-10-22,1,4330972.0,4330972.0,1,1,1,0,0,4330972.0,4330972.0
2004-10-22,1,708532.0,708532.0,1,1,1,0,0,708532.0,708532.0
2002-09-18,2,5822813.0,2911406.5,1,2,1,0,0,3392582.0,2430231.0
2003-06-24,2,2990791.0,1495395.5,1,2,1,0,0,2632970.0,357821.0
2005-07-01,1,800686.0,800686.0,1,1,1,0,0,800686.0,800686.0
2003-04-04,2,1761983.0,880991.5,1,2,1,0,0,1105057.0,656926.0
2005-07-16,2,3040027.0,1520013.5,1,2,1,0,0,1655875.0,1384152.0
2005-04-21,1,392312.0,392312.0,1,1,1,0,0,392312.0,392312.0
2005-01-14,2,5220652.0,2610326.0,1,1,1,0,0,4226443.0,994209.0
2003-04-28,2,1606375.0,803187.5,1,2,2,0,0,1035547.0,570828.0
2005-05-07,1,1066353.0,1066353.0,1,1,1,0,0,1066353.0,1066353.0
2005-04-15,5,4857829.0,971565.8,1,2,2,0,0,2172463.0,-1553452.0
2003-04-23,2,3706694.0,1853347.0,1,2,2,0,0,3183260.0,523434.0
2005-08-05,1,3132971.0,3132971.0,1,1,1,0,0,3132971.0,3132971.0
2003-05-21,2,1149291.0,574645.5,1,2,2,0,0,1104531.0,44760.0
2004-11-27,2,1499476.0,749738.0,1,2,2,0,0,1273831.0,225645.0
2004-09-05,1,1060297.0,1060297.0,1,1,1,0,0,1060297.0,1060297.0
2004-02-19,1,1132704.0,1132704.0,1,1,1,0,0,1132704.0,1132704.0
2004-04-11,1,969723.0,969723.0,1,1,1,0,0,969723.0,969723.0
2003-10-15,1,391259.0,391259.0,1,1,1,0,0,391259.0,391259.0
2004-05-18,3,1318591.0,439530.3333333333,1,1,1,0,0,2317013.0,-2317013.0
2004-02-14,1,2887315.0,2887315.0,1,1,1,0,0,2887315.0,2887315.0
2004-06-11,1,1812010.0,1812010.0,1,1,1,0,0,1812010.0,1812010.0
2005-04-02,1,2191684.0,2191684.0,1,1,1,0,0,2191684.0,2191684.0
2002-12-14,1,3841503.0,3841503.0,1,1,1,0,0,3841503.0,3841503.0
2005-03-28,2,3736710.0,1868355.0,1,2,1,0,0,3453666.0,283044.0
2002-12-13,3,5986584.0,1995528.0,1,3,1,0,0,3720913.0,810955.0
2002-09-01,2,4543716.0,2271858.0,1,2,2,0,0,3530549.0,1013167.0
2004-12-18,2,933125.0,466562.5,1,2,2,0,0,865194.0,67931.0
2004-04-18,2,4775154.0,2387577.0,1,2,2,0,0,4051087.0,724067.0
2004-11-28,1,3892319.0,3892319.0,1,1,1,0,0,3892319.0,3892319.0
2002-11-01,4,6557148.0,1639287.0,1,4,3,0,0,4252509.0,441286.0
2004-01-15,3,1784363.0,594787.6666666666,1,1,1,0,0,2106376.0,-2106376.0
2004-04-05,2,5011067.0,2505533.5,1,2,1,0,0,3566357.0,1444710.0
2004-01-14,2,1245131.0,622565.5,1,2,1,0,0,1204847.0,40284.0
2004-02-25,1,3400744.0,3400744.0,1,1,1,0,0,3400744.0,3400744.0
2002-12-24,5,6286478.0,1257295.6,1,5,2,0,0,2020804.0,261191.0
2002-12-11,3,9935775.0,3311925.0,1,3,3,0,0,4680104.0,1538181.0
2003-12-05,1,854662.0,854662.0,1,1,1,0,0,854662.0,854662.0
2003-04-26,1,3610855.0,3610855.0,1,1,1,0,0,3610855.0,3610855.0
2002-10-18,2,2447082.0,1223541.0,1,2,1,0,0,2398635.0,48447.0
2003-09-21,2,6714863.0,3357431.5,1,2,1,0,0,3850455.0,2864408.0
2003-03-14,2,2171937.0,1085968.5,1,2,1,0,0,1121645.0,1050292.0
2003-01-04,2,4613753.0,2306876.5,1,2,2,0,0,2889158.0,1724595.0
2002-12-21,2,2902323.0,1451161.5,1,2,2,0,0,1847555.0,1054768.0
2003-03-12,2,2708536.0,1354268.0,1,2,2,0,0,1758034.0,950502.0
2004-10-13,2,7385480.0,3692740.0,1,2,2,0,0,3890476.0,3495004.0
2005-02-14,1,2914697.0,2914697.0,1,1,1,0,0,2914697.0,2914697.0
2005-07-30,1,1383099.0,1383099.0,1,1,1,0,0,1383099.0,1383099.0
2004-08-01,1,263824.0,263824.0,1,1,1,0,0,263824.0,263824.0
2002-12-23,7,1.7256483E7,2465211.8571428573,1,7,4,0,0,6714073.0,95313.0
2003-12-28,1,275145.0,275145.0,1,1,1,0,0,275145.0,275145.0
2003-07-26,1,1924437.0,1924437.0,1,1,1,0,0,1924437.0,1924437.0
2003-05-18,2,5165623.0,2582811.5,1,2,1,0,0,4234078.0,931545.0
2003-12-22,1,38441.0,38441.0,1,1,1,0,0,38441.0,38441.0
2002-11-05,3,7454463.0,2484821.0,1,3,3,0,0,3897058.0,747500.0
2004-12-16,1,3449190.0,3449190.0,1,1,1,0,0,3449190.0,3449190.0
2003-05-14,2,1068723.0,534361.5,1,2,1,0,0,801213.0,267510.0
2003-01-02,3,6271471.0,2090490.3333333333,1,2,1,0,0,4929183.0,148236.0
2003-01-10,2,1137706.0,568853.0,1,2,2,0,0,966300.0,171406.0
2004-04-21,2,1426280.0,713140.0,1,2,2,0,0,1075568.0,350712.0
2004-08-08,1,3401270.0,3401270.0,1,1,1,0,0,3401270.0,3401270.0
2003-11-04,1,1047132.0,1047132.0,1,1,1,0,0,1047132.0,1047132.0
2003-01-23,2,4761726.0,2380863.0,1,2,2,0,0,3529496.0,1232230.0
2003-10-21,1,3155088.0,3155088.0,1,1,1,0,0,3155088.0,3155088.0
2004-03-14,3,1239076.0,413025.3333333333,1,1,1,0,0,1764090.0,-1764090.0
2003-08-31,1,3144556.0,3144556.0,1,1,1,0,0,3144556.0,3144556.0
2002-12-04,1,2353612.0,2353612.0,1,1,1,0,0,2353612.0,2353612.0
2005-06-02,1,1205110.0,1205110.0,1,1,1,0,0,1205110.0,1205110.0
2004-03-23,1,3434446.0,3434446.0,1,1,1,0,0,3434446.0,3434446.0
2004-10-28,1,2521068.0,2521068.0,1,1,1,0,0,2521068.0,2521068.0
2004-06-07,1,2437603.0,2437603.0,1,1,1,0,0,2437603.0,2437603.0
2003-02-14,1,1419961.0,1419961.0,1,1,1,0,0,1419961.0,1419961.0
2003-03-03,1,2827546.0,2827546.0,1,1,1,0,0,2827546.0,2827546.0
2003-01-26,1,993683.0,993683.0,1,1,1,0,0,993683.0,993683.0
2002-09-17,2,7369945.0,3684972.5,1,1,1,0,0,4205379.0,3164566.0
2003-02-23,2,918907.0,459453.5,1,2,1,0,0,621118.0,297789.0
2004-11-21,1,977622.0,977622.0,1,1,1,0,0,977622.0,977622.0
2004-08-14,2,1109797.0,554898.5,1,2,1,0,0,832282.0,277515.0
2004-02-12,1,5175892.0,5175892.0,1,1,1,0,0,5175892.0,5175892.0
2005-03-29,3,2503427.0,834475.6666666666,1,3,1,0,0,1938655.0,280675.0
2002-11-24,2,5100852.0,2550426.0,1,2,1,0,0,3732761.0,1368091.0
2004-06-10,1,5052405.0,5052405.0,1,1,1,0,0,5052405.0,5052405.0
2003-12-23,1,3462355.0,3462355.0,1,1,1,0,0,3462355.0,3462355.0
2002-10-28,2,4192477.0,2096238.5,1,2,1,0,0,4131919.0,60558.0
2005-02-10,1,417326.0,417326.0,1,1,1,0,0,417326.0,417326.0
2003-10-31,1,306214.0,306214.0,1,1,1,0,0,306214.0,306214.0
2004-01-18,1,1477886.0,1477886.0,1,1,1,0,0,1477886.0,1477886.0
2005-06-21,1,1085310.0,1085310.0,1,1,1,0,0,1085310.0,1085310.0
2004-03-04,2,3650086.0,1825043.0,1,2,2,0,0,3480523.0,169563.0
2004-02-24,1,1015273.0,1015273.0,1,1,1,0,0,1015273.0,1015273.0
2004-09-16,1,4198534.0,4198534.0,1,1,1,0,0,4198534.0,4198534.0
2003-04-13,3,3016067.0,1005355.6666666666,1,3,1,0,0,1356769.0,420749.0
2005-05-14,3,5300694.0,1766898.0,1,2,2,0,0,4662726.0,-2975256.0
2004-12-10,4,5292269.0,1323067.25,1,3,2,0,0,4331762.0,-2632970.0
2002-10-02,1,3668780.0,3668780.0,1,1,1,0,0,3668780.0,3668780.0
2005-07-10,1,52659.0,52659.0,1,1,1,0,0,52659.0,52659.0
2004-06-24,1,1508165.0,1508165.0,1,1,1,0,0,1508165.0,1508165.0
2003-02-24,1,197999.0,197999.0,1,1,1,0,0,197999.0,197999.0
2005-05-16,1,2306218.0,2306218.0,1,1,1,0,0,2306218.0,2306218.0
2005-04-06,1,3020279.0,3020279.0,1,1,1,0,0,3020279.0,3020279.0
2003-01-29,3,8438931.0,2812977.0,1,3,3,0,0,4053720.0,848606.0
2003-11-02,1,2082416.0,2082416.0,1,1,1,0,0,2082416.0,2082416.0
2005-04-04,1,1745396.0,1745396.0,1,1,1,0,0,1745396.0,1745396.0
2002-12-05,1,261191.0,261191.0,1,1,1,0,0,261191.0,261191.0
2004-01-07,1,3159564.0,3159564.0,1,1,1,0,0,3159564.0,3159564.0
2005-05-01,1,2975256.0,2975256.0,1,1,1,0,0,2975256.0,2975256.0
2004-05-24,3,2031072.0,677024.0,1,3,2,0,0,1086363.0,60558.0
2002-09-26,1,2458404.0,2458404.0,1,1,1,0,0,2458404.0,2458404.0
2002-10-19,2,4061092.0,2030546.0,1,2,1,0,0,3428653.0,632439.0
2005-02-07,1,3686157.0,3686157.0,1,1,1,0,0,3686157.0,3686157.0
2004-11-07,3,1716959.0,572319.6666666666,1,1,1,0,0,1716959.0,-1369144.0
2004-11-15,1,4129813.0,4129813.0,1,1,1,0,0,4129813.0,4129813.0
2004-08-20,2,3504746.0,1752373.0,1,2,1,0,0,2443659.0,1061087.0
2004-09-30,1,115061.0,115061.0,1,1,1,0,0,115061.0,115061.0
2003-03-01,3,5709069.0,1903023.0,1,3,2,0,0,2898373.0,990787.0
2002-09-12,4,7069788.0,1767447.0,1,2,1,0,0,3214856.0,29753.0
2003-03-23,4,6010280.0,1502570.0,1,4,2,0,0,2244870.0,971302.0
2002-12-03,2,2586366.0,1293183.0,1,2,1,0,0,2100583.0,485783.0
2003-03-11,1,1031598.0,1031598.0,1,1,1,0,0,1031598.0,1031598.0
2005-05-26,1,1053714.0,1053714.0,1,1,1,0,0,1053714.0,1053714.0
2005-06-22,1,1411008.0,1411008.0,1,1,1,0,0,1411008.0,1411008.0
2002-12-16,2,5769363.0,2884681.5,1,1,1,0,0,3207220.0,2562143.0
2004-02-04,2,2305691.0,1152845.5,1,2,2,0,0,1593473.0,712218.0
2004-08-02,3,6576368.0,2192122.6666666665,1,3,3,0,0,3618490.0,1116116.0
2004-04-23,3,2032126.0,677375.3333333334,1,1,1,0,0,2032126.0,-1737760.0
2003-10-25,1,3116120.0,3116120.0,1,1,1,0,0,3116120.0,3116120.0
2003-06-27,1,3310959.0,3310959.0,1,1,1,0,0,3310959.0,3310959.0
2003-10-07,1,3767516.0,3767516.0,1,1,1,0,0,3767516.0,3767516.0
2003-03-21,2,4106906.0,2053453.0,1,2,1,0,0,2161668.0,1945238.0
2005-01-25,1,798843.0,798843.0,1,1,1,0,0,798843.0,798843.0
2004-06-29,1,1032914.0,1032914.0,1,1,1,0,0,1032914.0,1032914.0
2003-07-24,1,3567411.0,3567411.0,1,1,1,0,0,3567411.0,3567411.0
2003-09-24,2,2647188.0,1323594.0,1,2,1,0,0,1490261.0,1156927.0
2004-11-29,1,3756195.0,3756195.0,1,1,1,0,0,3756195.0,3756195.0
2003-05-03,5,8384429.0,1676885.8,1,5,2,0,0,3322018.0,948132.0
2004-04-07,1,1805954.0,1805954.0,1,1,1,0,0,1805954.0,1805954.0
2003-08-26,2,2733549.0,1366774.5,1,2,2,0,0,1848081.0,885468.0
2004-01-28,2,4624811.0,2312405.5,1,2,1,0,0,3686684.0,938127.0
2004-02-09,2,2772254.0,1386127.0,1,2,2,0,0,1812010.0,960244.0
2004-07-14,1,4291741.0,4291741.0,1,1,1,0,0,4291741.0,4291741.0
2004-04-30,2,900476.0,450238.0,1,2,2,0,0,640602.0,259874.0
2004-01-06,2,4806486.0,2403243.0,1,2,1,0,0,3234340.0,1572146.0
2004-03-29,1,754346.0,754346.0,1,1,1,0,0,754346.0,754346.0
2002-11-22,3,8248568.0,2749522.6666666665,1,3,1,0,0,3461039.0,1735654.0
2003-03-05,2,4640873.0,2320436.5,1,2,1,0,0,2911275.0,1729598.0
2004-03-18,3,1484995.0,494998.3333333333,1,1,1,0,0,2159035.0,-2159035.0
2005-03-19,1,1119802.0,1119802.0,1,1,1,0,0,1119802.0,1119802.0
2002-10-30,2,2995530.0,1497765.0,1,2,2,0,0,2049767.0,945763.0
2003-06-13,2,4686159.0,2343079.5,1,2,2,0,0,3508432.0,1177727.0
2002-10-26,3,9855732.0,3285244.0,1,3,2,0,0,5699589.0,1011587.0
2002-10-21,4,2442606.0,610651.5,1,2,2,0,0,1500793.0,-1500793.0
2004-09-18,1,2052400.0,2052400.0,1,1,1,0,0,2052400.0,2052400.0
2005-05-22,1,3959986.0,3959986.0,1,1,1,0,0,3959986.0,3959986.0
2003-02-25,1,973409.0,973409.0,1,1,1,0,0,973409.0,973409.0
2003-10-06,1,1010534.0,1010534.0,1,1,1,0,0,1010534.0,1010534.0
2004-01-02,1,1544763.0,1544763.0,1,1,1,0,0,1544763.0,1544763.0
2002-10-24,4,4764885.0,1191221.25,1,2,1,0,0,3132181.0,-1737760.0
2005-02-22,1,3686157.0,3686157.0,1,1,1,0,0,3686157.0,3686157.0
2004-09-27,2,3715120.0,1857560.0,1,2,1,0,0,3584525.0,130595.0
2003-07-29,2,4531604.0,2265802.0,1,2,1,0,0,3002112.0,1529492.0
2003-10-01,1,3189053.0,3189053.0,1,1,1,0,0,3189053.0,3189053.0
2003-05-27,2,4607434.0,2303717.0,1,2,2,0,0,3688264.0,919170.0
2005-02-25,1,2639815.0,2639815.0,1,1,1,0,0,2639815.0,2639815.0
2005-07-14,3,5752512.0,1917504.0,1,3,2,0,0,3441028.0,969459.0
2004-09-25,1,1238286.0,1238286.0,1,1,1,0,0,1238286.0,1238286.0
2002-09-03,2,5026339.0,2513169.5,1,2,2,0,0,2756982.0,2269357.0
2004-12-23,3,8408125.0,2802708.3333333335,1,2,2,0,0,3720649.0,1617433.0
2003-07-03,1,3846505.0,3846505.0,1,1,1,0,0,3846505.0,3846505.0
2005-02-03,1,1820699.0,1820699.0,1,1,1,0,0,1820699.0,1820699.0
2002-10-11,4,1.2040308E7,3010077.0,1,4,2,0,0,4546349.0,992366.0
2002-09-02,2,6563730.0,3281865.0,1,2,1,0,0,3395214.0,3168516.0
2003-04-30,2,6031607.0,3015803.5,1,2,2,0,0,4177206.0,1854401.0
2005-06-12,1,1964195.0,1964195.0,1,1,1,0,0,1964195.0,1964195.0
2002-12-29,1,4217227.0,4217227.0,1,1,1,0,0,4217227.0,4217227.0
2003-09-12,1,3044503.0,3044503.0,1,1,1,0,0,3044503.0,3044503.0
2004-09-14,2,5331764.0,2665882.0,1,2,1,0,0,3984210.0,1347554.0
2003-03-09,1,956031.0,956031.0,1,1,1,0,0,956031.0,956031.0
2003-12-09,2,4230393.0,2115196.5,1,2,2,0,0,3192476.0,1037917.0
2003-06-23,1,2704323.0,2704323.0,1,1,1,0,0,2704323.0,2704323.0
2004-09-26,1,3020543.0,3020543.0,1,1,1,0,0,3020543.0,3020543.0
2002-09-09,5,8084006.0,1616801.2,1,4,2,0,0,3815173.0,71353.0
2003-04-19,2,1359139.0,679569.5,1,2,2,0,0,705636.0,653503.0
2003-05-24,1,937864.0,937864.0,1,1,1,0,0,937864.0,937864.0
2003-01-13,1,1563457.0,1563457.0,1,1,1,0,0,1563457.0,1563457.0
2003-05-01,3,7055043.0,2351681.0,1,3,3,0,0,5733818.0,394156.0
2004-12-14,2,8828347.0,4414173.5,1,2,2,0,0,4739345.0,4089002.0
2004-03-05,1,3180364.0,3180364.0,1,1,1,0,0,3180364.0,3180364.0
2004-04-17,2,4258302.0,2129151.0,1,2,1,0,0,3308590.0,949712.0
2004-08-10,1,3615067.0,3615067.0,1,1,1,0,0,3615067.0,3615067.0
2003-05-23,2,3078468.0,1539234.0,1,2,2,0,0,1778044.0,1300424.0
2005-05-31,1,991840.0,991840.0,1,1,1,0,0,991840.0,991840.0
2004-11-16,1,665615.0,665615.0,1,1,1,0,0,665615.0,665615.0
2004-05-06,2,4737503.0,2368751.5,1,2,1,0,0,3180101.0,1557402.0
2002-12-07,6,2691159.0,448526.5,1,4,4,0,0,4565043.0,-5555566.0
2003-10-14,2,2770937.0,1385468.5,1,2,2,0,0,1539497.0,1231440.0
2005-02-28,1,247762.0,247762.0,1,1,1,0,0,247762.0,247762.0
2003-02-12,3,5471838.0,1823946.0,1,2,1,0,0,3177731.0,406794.0
2002-11-03,2,8706178.0,4353089.0,1,2,1,0,0,4754617.0,3951561.0
2004-08-18,2,2232495.0,1116247.5,1,2,2,0,0,1215379.0,1017116.0
2003-11-08,1,2744607.0,2744607.0,1,1,1,0,0,2744607.0,2744607.0
2004-06-16,2,4398639.0,2199319.5,1,2,2,0,0,3231444.0,1167195.0
2003-02-07,1,665351.0,665351.0,1,1,1,0,0,665351.0,665351.0
2003-05-02,2,1631388.0,815694.0,1,2,2,0,0,973146.0,658242.0
2003-08-01,1,30806.0,30806.0,1,1,1,0,0,30806.0,30806.0
2004-10-06,3,1972884.0,657628.0,1,1,1,0,0,1972884.0,-1500793.0
2004-05-15,1,1013167.0,1013167.0,1,1,1,0,0,1013167.0,1013167.0
2005-05-15,1,46604.0,46604.0,1,1,1,0,0,46604.0,46604.0
2004-09-17,1,3071886.0,3071886.0,1,1,1,0,0,3071886.0,3071886.0
2002-09-30,4,6761466.0,1690366.5,1,4,3,0,0,3352297.0,297526.0
2002-09-07,3,5047139.0,1682379.6666666667,1,3,2,0,0,3081891.0,772513.0
2004-03-02,2,1979730.0,989865.0,1,2,2,0,0,1273304.0,706426.0
2004-11-20,1,869670.0,869670.0,1,1,1,0,0,869670.0,869670.0
2004-12-11,1,1281466.0,1281466.0,1,1,1,0,0,1281466.0,1281466.0
2004-08-11,1,1172725.0,1172725.0,1,1,1,0,0,1172725.0,1172725.0
2004-07-16,2,-795421.0,-397710.5,1,1,1,0,0,3496320.0,-4291741.0
2004-07-10,2,3219859.0,1609929.5,1,2,2,0,0,2271990.0,947869.0
2004-11-02,1,1927860.0,1927860.0,1,1,1,0,0,1927860.0,1927860.0
2004-03-10,4,3354404.0,838601.0,1,4,2,0,0,1515274.0,134808.0
2003-12-14,1,4261725.0,4261725.0,1,1,1,0,0,4261725.0,4261725.0
2003-09-23,2,4686686.0,2343343.0,1,2,2,0,0,3908117.0,778569.0
2003-11-03,1,1651925.0,1651925.0,1,1,1,0,0,1651925.0,1651925.0
2003-01-27,2,4144294.0,2072147.0,1,2,2,0,0,3281470.0,862824.0
2003-08-17,2,4444979.0,2222489.5,1,2,1,0,0,3130864.0,1314115.0
2002-12-20,2,5663254.0,2831627.0,1,1,1,0,0,3241712.0,2421542.0
2003-03-04,2,5569257.0,2784628.5,1,2,1,0,0,4094794.0,1474463.0
2003-10-05,1,609796.0,609796.0,1,1,1,0,0,609796.0,609796.0
2004-07-13,3,5769890.0,1923296.6666666667,1,3,3,0,0,2701954.0,1025805.0
2002-10-31,5,6169312.0,1233862.4,1,3,3,0,0,3570307.0,-2527651.0
2005-02-08,1,1934706.0,1934706.0,1,1,1,0,0,1934706.0,1934706.0
2003-06-09,1,1055558.0,1055558.0,1,1,1,0,0,1055558.0,1055558.0
2005-02-05,1,3103481.0,3103481.0,1,1,1,0,0,3103481.0,3103481.0
2002-09-21,3,5177209.0,1725736.3333333333,1,3,2,0,0,3830971.0,73460.0
